canonical_title,alias,language,source,confidence
Domestic cleaner,kasambahay,fil,local_peso,1
Domestic housekeeper,house helper,en,local_peso,0.95
Data entry clerk,encoder,en,local_peso,1
Data entry clerk,barangay encoder,en,local_peso,0.95
Administrative assistant,virtual assistant,en,local_peso,0.85
Administrative assistant,VA,en,local_peso,0.8
Online sales channel manager,online seller,en,local_peso,0.95
Online sales channel manager,TikTok live seller,en,local_peso,0.8
Baker,panadero,fil,local_peso,1
Baker,bread maker,en,local_peso,0.9
Customer contact centre information clerk,CSR,en,local_peso,0.85
Customer contact centre information clerk,call center agent,en,local_peso,0.9
Domestic housekeeper,katulong,fil,local_peso,1
Domestic housekeeper,housemaid,en,local_peso,0.95
Domestic housekeeper,household helper,en,local_peso,0.95
Domestic housekeeper,stay-in helper,en,local_peso,0.9
Cook,kusinero,fil,local_peso,1
Cook,kusinera,fil,local_peso,1
Cook,tagaluto,fil,local_peso,0.95
Cook,kitchen cook,en,local_peso,0.9
Baker,panadera,fil,local_peso,1
Retail Salesperson,tindero,fil,local_peso,1
Retail Salesperson,tindera,fil,local_peso,1
Retail Salesperson,saleslady,en,local_peso,0.95
Retail Salesperson,salesman,en,local_peso,0.95
Retail Salesperson,store salesperson,en,local_peso,0.9
Street food vendor,street vendor,en,local_peso,0.95
Street food vendor,ambulant vendor,en,local_peso,0.9
Street food vendor,maglalako,fil,local_peso,0.95
Carpenter,karpintero,fil,local_peso,1
Carpenter,carpentry worker,en,local_peso,0.9
Mason,kantero,fil,local_peso,0.9
Mason,masonry worker,en,local_peso,0.95
Welder,manghihinang,fil,local_peso,1
Welder,welding worker,en,local_peso,0.95
Plumber,tubero,fil,local_peso,1
Plumber,plumbing worker,en,local_peso,0.95
Electrician,elektrisyan,fil,local_peso,1
Electrician,electrical worker,en,local_peso,0.9
Security guard,sekyu,fil,local_peso,1
Security guard,guwardiya,fil,local_peso,1
Security guard,security personnel,en,local_peso,0.9
Taxi driver,tsuper,fil,local_peso,0.9
Taxi driver,taxi operator,en,local_peso,0.85
Delivery Driver,delivery van driver,en,local_peso,0.95
Delivery Driver,parcel delivery driver,en,local_peso,0.95
Cargo vehicle driver,truck driver,en,local_peso,0.95
Cargo vehicle driver,lorry driver,en,local_peso,0.9
Heavy Truck Driver,heavy equipment truck driver,en,local_peso,0.9
Bus driver,bus operator,en,local_peso,0.9
Motorcycle delivery person,delivery rider,en,local_peso,1
