category,name,aliases
technical,Accounting,basic accounting|financial accounting|accountancy
technical,Administrative Support,admin support|clerical work|office support
technical,Agricultural Work,agriculture|farm work|crop production
technical,Animal Care,livestock care|pet care|animal handling
technical,Appliance Repair,home appliance repair|electrical appliance servicing
technical,AutoCAD,computer aided design|cad drafting|cad
technical,Automotive Repair,auto mechanic|vehicle repair|car repair
technical,Baking,bakery|bread making|pastry making
technical,Bar Service,bartending|beverage service|bar tending
technical,Barista Skills,coffee preparation|coffee making|espresso
technical,Basic Computer Operations,computer literacy|computer literate|basic computer
technical,Beauty Care,beautician|cosmetology|salon services
technical,Bookkeeping,books of accounts|record keeping|financial records
technical,Budgeting,budget preparation|cost planning
technical,Carpentry,woodworking|carpentry work|furniture making
technical,Cash Handling,cashiering|cash management|cash register
technical,Childcare,child care|babysitting|daycare
technical,Cleaning and Sanitation,cleaning|sanitation|janitorial work
technical,Commercial Driving,professional driver|truck driving|bus driving
technical,Computer Hardware Repair,computer repair|pc repair|hardware troubleshooting
technical,Construction Work,construction|building work|general labor
technical,Content Creation,digital content|content production|online content
technical,Cooking,food cooking|culinary|cookery
technical,Customer Relationship Management,crm|client relationship management
technical,Customer Service,client service|customer care|frontline service
technical,Data Analysis,data analytics|analyzing data|report analysis
technical,Data Entry,encoding|data encoding|typing records
technical,Delivery and Logistics,delivery|logistics|dispatch|courier
technical,Digital Marketing,online marketing|internet marketing|social media marketing
technical,Dressmaking,dress making|garment making|sewing dresses
technical,Electrical Installation,electrician|electrical wiring|electrical work
technical,Electronics Repair,electronic servicing|circuit repair|electronics servicing
technical,Embroidery,hand embroidery|machine embroidery
technical,Equipment Maintenance,machine maintenance|preventive maintenance|equipment servicing
technical,Event Management,event planning|events coordination
technical,Farming,farm operations|crop farming|agricultural production
technical,First Aid,basic life support|emergency first aid
technical,Fishing,fisherfolk|fish capture|commercial fishing
technical,Food Preparation,meal preparation|kitchen preparation|food processing
technical,Forklift Operation,forklift driving|materials handling equipment
technical,Garment Production,garment sewing|apparel production|clothing production
technical,Gardening,landscaping|garden maintenance|horticulture
technical,Graphic Design,visual design|digital graphics|layout design
technical,Hairdressing,hair styling|hair cutting|salon hair services
technical,Handicraft,craft making|artisan work|handmade products
technical,Healthcare Assistance,health care assistant|caregiving|patient care
technical,Housekeeping,hotel housekeeping|room attendant|domestic chores
technical,Inventory Management,inventory control|stock control|stock management
technical,Machine Operation,machinery operation|production machine|equipment operation
technical,Masonry,bricklaying|concrete work|mason
technical,Mechanical Repair,mechanic|machine repair|mechanical maintenance
technical,Microsoft Excel,ms excel|excel spreadsheet|spreadsheets
technical,Microsoft Office,ms office|office applications|word excel powerpoint
technical,Mobile Device Repair,cellphone repair|mobile phone repair|smartphone repair
technical,Office Administration,office management|administrative work|office procedures
technical,Painting,house painting|painting jobs|surface painting
technical,Payroll Processing,payroll|salary processing|pay computation
technical,Photography,photo taking|digital photography|camera operation
technical,Plumbing,pipe fitting|plumber|water system repair
technical,Point of Sale Operation,pos|cash register operation|retail pos
technical,Programming,software coding|computer programming|coding
technical,Project Management,project coordination|project planning|project supervision
technical,Quality Control,quality assurance|product inspection|qa qc
technical,QuickBooks,quick books|accounting software
technical,Refrigeration and Air Conditioning,rac servicing|aircon repair|refrigeration repair
technical,Retail Sales,selling|store sales|retail service
technical,Safety Compliance,occupational safety|workplace safety|osh
technical,Security Services,security guard|protective services|site security
technical,Sewing,machine sewing|hand sewing|stitching
technical,Social Media Management,social media handling|page management|online community management
technical,Stenography,shorthand|court stenography
technical,Stock Management,stock keeping|warehouse stock|inventory handling
technical,Tailoring,clothing alteration|garment alteration|tailor
technical,Teaching and Training,instruction|facilitation|workplace training
technical,Technical Support,help desk|it support|user support
technical,Typing,keyboard skills|touch typing|word encoding
technical,Warehouse Operations,warehousing|warehouse work|materials handling
technical,Web Development,website development|web programming|frontend development
technical,Welding,arc welding|shielded metal arc welding|smaw
soft,Accountability,taking responsibility|ownership
soft,Active Listening,listening skills|attentive listening
soft,Adaptability,flexibility|adjusting to change
soft,Attention to Detail,detail oriented|accuracy|meticulous
soft,Collaboration,working with others|cooperation
soft,Communication,communication skills|oral communication|written communication
soft,Conflict Resolution,conflict management|dispute resolution
soft,Creativity,creative thinking|innovation
soft,Critical Thinking,analytical thinking|logical thinking
soft,Cultural Awareness,cultural sensitivity|cross cultural awareness
soft,Customer Orientation,customer focus|service mindset
soft,Decision Making,making decisions|sound judgment
soft,Dependability,dependable|responsibility
soft,Emotional Intelligence,emotional awareness|eq
soft,Empathy,understanding others|compassion
soft,Flexibility,being flexible|openness to change
soft,Goal Setting,setting goals|objective setting
soft,Initiative,self starter|proactiveness|proactive
soft,Integrity,honesty|ethical behavior
soft,Leadership,leading teams|people leadership
soft,Learning Agility,willingness to learn|fast learner|continuous learning
soft,Mentoring,coaching others|guiding others
soft,Multitasking,handling multiple tasks|task switching
soft,Negotiation,bargaining|reaching agreement
soft,Organization,organizational skills|being organized
soft,Patience,remaining calm|tolerance
soft,Persuasion,influencing|convincing others
soft,Planning,work planning|task planning
soft,Problem Solving,troubleshooting|solution finding
soft,Professionalism,professional conduct|workplace behavior
soft,Reliability,reliable|consistent performance
soft,Resilience,handling setbacks|coping with pressure
soft,Resourcefulness,finding alternatives|using available resources
soft,Self Management,self discipline|managing oneself
soft,Service Orientation,helping people|service focused
soft,Speaking,verbal communication|public speaking
soft,Stress Management,working under pressure|managing stress
soft,Teamwork,team player|working in a team
soft,Time Management,managing time|meeting deadlines
soft,Work Ethic,hardworking|dedication|commitment to work
